
|Genbank ID|ST|cpn60|fusA|gltA|pyrG|recA|rplB|rpoB|
|GCA_001535665.1_ASM153566v1|-|2|2|2|115?|2|2|2|
|GCA_001535685.1_ASM153568v1|2|2|2|2|2|2|2|2|
|GCA_001584465.1_ASM158446v1|1|1|1|1|1|5|1|1|
|GCA_001584475.1_ASM158447v1|2|2|2|2|2|2|2|2|
|GCA_001584485.1_ASM158448v1|2|2|2|2|2|2|2|2|
|GCA_001628795.1_ASM162879v1|79|26|2|2|2|29|4|5|
|GCA_001649695.1_ASM164969v1|79|26|2|2|2|29|4|5|
|GCA_001649735.1_ASM164973v1|-|26|2|2|115?|29|4|5|
|GCA_001649885.1_ASM164988v1|79|26|2|2|2|29|4|5|
|GCA_001649915.1_ASM164991v1|79|26|2|2|2|29|4|5|
|GCA_001758155.1_ASM175815v1|317|3|1|15|2|40|4|4|
|GCA_001861455.1_ASM186145v1|2|2|2|2|2|2|2|2|
|GCA_001861565.1_ASM186156v1|2|2|2|2|2|2|2|2|
|GCA_001861795.1_ASM186179v1|2|2|2|2|2|2|2|2|
|GCA_001862145.1_ASM186214v1|2|2|2|2|2|2|2|2|
|GCA_001862185.1_ASM186218v1|2|2|2|2|2|2|2|2|
|GCA_001862635.1_ASM186263v1|2|2|2|2|2|2|2|2|
|GCA_001862925.1_ASM186292v1|-|2|2|2|-|-|2|-|
|GCA_001863195.1_ASM186319v1|2|2|2|2|2|2|2|2|
|GCA_001863235.1_ASM186323v1|2|2|2|2|2|2|2|2|
|GCA_001864275.1_ASM186427v1|46|5|12|11|2|14|9|14|
|GCA_001864505.1_ASM186450v1|2|2|2|2|2|2|2|2|
|GCA_001864735.1_ASM186473v1|-|3|3|16|1|13,20|1|1|
|GCA_002009115.1_ASM200911v1|2|2|2|2|2|2|2|2|
|GCA_002136865.1_ASM213686v1|2|2|2|2|2|2|2|2|
|GCA_002212205.1_ASM221220v1|-|2|245?|2|2|114?|2|2|
|GCA_002212395.1_ASM221239v1|-|2|-|2|-|2|2|2|
|GCA_002212475.1_ASM221247v1|-|2|-|-|2|2|-|2|
|GCA_002212545.1_ASM221254v1|2|2|2|2|2|2|2|2|
|GCA_002277455.1_ASM227745v1|2|2|2|2|2|2|2|2|
|GCA_002277575.1_ASM227757v1|2|2|2|2|2|2|2|2|
|GCA_002277645.1_ASM227764v1|2|2|2|2|2|2|2|2|
|GCA_002321775.1_ASM232177v1|-|105|3|2|1|-|2|-|
|GCA_002332605.1_ASM233260v1|-|10|4|3|2|13|1|-|
|GCA_002341705.1_ASM234170v1|152|8|1|5|3|6|2|3|
|GCA_002341785.1_ASM234178v1|-|~69|1|5|3|6|2|-|
|GCA_002364895.1_ASM236489v1|428|3|1|2|3|6|1|16|
|GCA_002386695.1_ASM238669v1|448|27|4|7|1|7|1|4|
|GCA_002389145.1_ASM238914v1|-|3|5|5|1|7|-|-|
|GCA_002439345.1_ASM243934v1|-|33|33|215?|23|80|-|-|
|GCA_002500525.1_ASM250052v1|-|182|173|~72|39|~81|-|~71|
|GCA_002762545.2_ASM276254v2|2|2|2|2|2|2|2|2|
|GCA_002837885.3_ASM283788v3|575|1|3|2|1|4|4|92|
|GCA_003007195.1_ASM300719v1|2|2|2|2|2|2|2|2|
|GCA_003007285.1_ASM300728v1|2|2|2|2|2|2|2|2|
|GCA_003007315.1_ASM300731v1|-|2|-|2|2|2|2|2|
|GCA_003012895.3_ASM301289v3|-|13|~3|7|26|7|1|29|
|GCA_003039095.1_ASM303909v1|636|2|1|2|2|2|1|1|
|GCA_003039235.1_ASM303923v1|2|2|2|2|2|2|2|2|
|GCA_003185745.1_ASM318574v1|1|1|1|1|1|5|1|1|
|GCA_003185755.1_ASM318575v1|-|1|1|1|1|13?|1|1|
|GCA_003335925.1_ASM333592v1|-|2|2|2|2|2|-|2|
|GCA_003335995.1_ASM333599v1|2|2|2|2|2|2|2|2|
|GCA_003336115.1_ASM333611v1|255|3|37|2|2|42|1|14|
|GCA_003336135.1_ASM333613v1|255|3|37|2|2|42|1|14|
|GCA_003352565.1_ASM335256v1|-|2|2|2|2|2|2|393?|
|GCA_003359255.2_ASM335925v2|195|2|2|2|2|2|1|2|
|GCA_003540785.1_ASM354078v1|-|-|-|~72|2|13|-|393?|
|GCA_003577545.1_ASM357754v1|-|1|52|2|2|9|4,4|5|
|GCA_003627485.2_ASM362748v2|2|2|2|2|2|2|2|2|
|GCA_003711905.1_ASM371190v1|-|1|1,1|1|1|5|1|1|
|GCA_003843625.1_ASM384362v1|132|3|5|5|1|7|1|4|
|GCA_003843645.1_ASM384364v1|2|2|2|2|2|2|2|2|
|GCA_003843655.1_ASM384365v1|-|2|2|2|115?|2|2|2|
|GCA_003843665.1_ASM384366v1|2|2|2|2|2|2|2|2|
|GCA_003843735.1_ASM384373v1|2|2|2|2|2|2|2|2|
|GCA_003843775.1_ASM384377v1|25|3|3|2|4|7|2|4|
|GCA_003949475.1_ASM394947v1|1|1|1|1|1|5|1|1|
|GCA_003949675.1_ASM394967v1|-|1|1|148?|1|155?|1|1|
|GCA_004101985.1_ASM410198v1|2|2|2|2|2|2|2|2|
|GCA_004357215.1_ASM435721v1|1|1|1|1|1|5|1|1|
|GCA_004794165.2_ASM479416v2|149|3|12|11|2|14|9|14|
|GCA_005280355.1_ASM528035v1|2|2|2|2|2|2|2|2|
|GCA_005280395.1_ASM528039v1|1512|1|3|10|1|4|1|4|
|GCA_005280415.1_ASM528041v1|575|1|3|2|1|4|4|92|
|GCA_006937685.1_ASM693768v1|2|2|2|2|2|2|2|2|
|GCA_007113735.1_ASM711373v1|2|2|2|2|2|2|2|2|
|GCA_007115075.1_ASM711507v1|2|2|2|2|2|2|2|2|
|GCA_007999245.1_ASM799924v1|2|2|2|2|2|2|2|2|
|GCA_007999275.1_ASM799927v1|2|2|2|2|2|2|2|2|
|GCA_007999295.1_ASM799929v1|2|2|2|2|2|2|2|2|
|GCA_007999375.1_ASM799937v1|2|2|2|2|2|2|2|2|
|GCA_007999395.1_ASM799939v1|2|2|2|2|2|2|2|2|
|GCA_007999505.1_ASM799950v1|2|2|2|2|2|2|2|2|
|GCA_007999845.1_ASM799984v1|2|2|2|2|2|2|2|2|
|GCA_007999965.1_ASM799996v1|2|2|2|2|2|2|2|2|
|GCA_008000165.1_ASM800016v1|2|2|2|2|2|2|2|2|
|GCA_008000185.1_ASM800018v1|221|3|1|2|1|18|1|48|
|GCA_008000225.1_ASM800022v1|2|2|2|2|2|2|2|2|
|GCA_008365335.2_ASM836533v2|15|6|6|8|2|3|5|4|
|GCA_008630265.1_ASM863026v1|2|2|2|2|2|2|2|2|
|GCA_008630275.1_ASM863027v1|2|2|2|2|2|2|2|2|
|GCA_008709595.1_AB_5326|25|3|3|2|4|7|2|4|
|GCA_008709655.1_AB2992|25|3|3|2|4|7|2|4|
|GCA_008975425.1_ASM897542v1|2|2|2|2|2|2|2|2|
|GCA_008975545.1_ASM897554v1|-|27|70|56|1|9|2|5|
|GCA_008975665.1_ASM897566v1|-|1|2|3|2|9|1|29|
|GCA_008975885.1_ASM897588v1|2|2|2|2|2|2|2|2|
|GCA_008976005.1_ASM897600v1|2|2|2|2|2|2|2|2|
|GCA_008976125.1_ASM897612v1|2|2|2|2|2|2|2|2|
|GCA_008976225.1_ASM897622v1|151|27|5|7|1|7|1|4|
|GCA_008976305.1_ASM897630v1|34|8|1|14|3|12|1|13|
|GCA_008976435.1_ASM897643v1|2|2|2|2|2|2|2|2|
|GCA_008976525.1_ASM897652v1|34|8|1|14|3|12|1|13|
|GCA_008976645.1_ASM897664v1|-|3|52|2|2|73|4|36|
|GCA_008976715.1_ASM897671v1|130|8|1|14|3|12|1|5|
|GCA_008976805.1_ASM897680v1|151|27|5|7|1|7|1|4|
|GCA_008976925.1_ASM897692v1|49|3|3|6|2|3|1|5|
|GCA_008977145.1_ASM897714v1|213|3|3|7|1|7|1|4|
|GCA_008977265.1_ASM897726v1|34|8|1|14|3|12|1|13|
|GCA_008977405.1_ASM897740v1|235|3|5|7|1|7|1|2|
|GCA_008977785.1_ASM897778v1|235|3|5|7|1|7|1|2|
|GCA_008977905.1_ASM897790v1|33|3|5|7|1|7|1|4|
|GCA_008978025.1_ASM897802v1|235|3|5|7|1|7|1|2|
|GCA_008978265.1_ASM897826v1|40|1|2|2|2|5|1|14|
|GCA_008978365.1_ASM897836v1|34|8|1|14|3|12|1|13|
|GCA_008978385.1_ASM897838v1|40|1|2|2|2|5|1|14|
|GCA_008978405.1_ASM897840v1|33|3|5|7|1|7|1|4|
|GCA_008978445.1_ASM897844v1|213|3|3|7|1|7|1|4|
|GCA_008978465.1_ASM897846v1|-|3|5|3|26|7|1|4|
|GCA_008978625.1_ASM897862v1|213|3|3|7|1|7|1|4|
|GCA_008978745.1_ASM897874v1|2|2|2|2|2|2|2|2|
|GCA_008978835.1_ASM897883v1|2|2|2|2|2|2|2|2|
|GCA_008978925.1_ASM897892v1|2|2|2|2|2|2|2|2|
|GCA_008979045.1_ASM897904v1|2|2|2|2|2|2|2|2|
|GCA_008979145.1_ASM897914v1|2|2|2|2|2|2|2|2|
|GCA_008979265.1_ASM897926v1|2|2|2|2|2|2|2|2|
|GCA_008979525.1_ASM897952v1|490|1|4|3|2|9|1|2|
|GCA_008980025.1_ASM898002v1|-|8|1|14|3|12|1|4|
|GCA_008981025.1_ASM898102v1|221|3|1|2|1|18|1|48|
|GCA_008981345.1_ASM898134v1|516|3|4|2|2|9|1|2|
|GCA_008981885.1_ASM898188v1|25|3|3|2|4|7|2|4|
|GCA_008981985.1_ASM898198v1|213|3|3|7|1|7|1|4|
|GCA_008982025.1_ASM898202v1|213|3|3|7|1|7|1|4|
|GCA_008982225.1_ASM898222v1|34|8|1|14|3|12|1|13|
|GCA_008982245.1_ASM898224v1|-|3|1|181?|1|18|1|48|
|GCA_008982265.1_ASM898226v1|1136|8|1|5|26|13|2|3|
|GCA_008982305.1_ASM898230v1|727|1|3|14|3|12|1|2|
|GCA_008983395.1_ASM898339v1|213|3|3|7|1|7|1|4|
|GCA_008984025.1_ASM898402v1|126|3|2|7|2|7|1|3|
|GCA_008984085.1_ASM898408v1|213|3|3|7|1|7|1|4|
|GCA_008984285.1_ASM898428v1|456|27|5|7|1|7|1|2|
|GCA_008984505.1_ASM898450v1|821|12|100|2|2|9|1|52|
|GCA_008984715.1_ASM898471v1|2|2|2|2|2|2|2|2|
|GCA_008984805.1_ASM898480v1|-|8|~1|14|3|12|1|5|
|GCA_008984905.1_ASM898490v1|266|27|2|2|2|7|1|5|
|GCA_008985025.1_ASM898502v1|2|2|2|2|2|2|2|2|
|GCA_008985065.1_ASM898506v1|1548|3|2|2|2|3|1|4|
|GCA_008985085.1_ASM898508v1|2|2|2|2|2|2|2|2|
|GCA_008985145.1_ASM898514v1|-|8|2|2|7|~3|1|5|
|GCA_008985165.1_ASM898516v1|213|3|3|7|1|7|1|4|
|GCA_008985245.1_ASM898524v1|34|8|1|14|3|12|1|13|
|GCA_008985285.1_ASM898528v1|1133|7|160|2|1|8|4|4|
|GCA_008985405.1_ASM898540v1|46|5|12|11|2|14|9|14|
|GCA_008985715.1_ASM898571v1|2|2|2|2|2|2|2|2|
|GCA_008985845.1_ASM898584v1|2|2|2|2|2|2|2|2|
|GCA_008985945.1_ASM898594v1|203|3|4|2|2|7|1|2|
|GCA_008986405.1_ASM898640v1|213|3|3|7|1|7|1|4|
|GCA_008986865.1_ASM898686v1|32|1|1|2|2|3|4|4|
|GCA_008986945.1_ASM898694v1|360|1|4|2|1|42|1|4|
|GCA_008986965.1_ASM898696v1|113|3|3|3|4|7|4|4|
|GCA_008987025.1_ASM898702v1|2|2|2|2|2|2|2|2|
|GCA_008987045.1_ASM898704v1|2|2|2|2|2|2|2|2|
|GCA_008987065.1_ASM898706v1|2|2|2|2|2|2|2|2|
|GCA_008987085.1_ASM898708v1|138|3|3|7|26|7|1|4|
|GCA_008987245.1_ASM898724v1|-|1|52|4|2|67|3|4|
|GCA_008987485.1_ASM898748v1|126|3|2|7|2|7|1|3|
|GCA_008987605.1_ASM898760v1|33|3|5|7|1|7|1|4|
|GCA_008987725.1_ASM898772v1|-|3|2|2|2|15|2|5|
|GCA_008988105.1_ASM898810v1|1646|40|3|6|2|102|4|2|
|GCA_008988225.1_ASM898822v1|-|3|317?|2|1|18|1|48|
|GCA_008988265.1_ASM898826v1|-|1|52|4|2|67|3|4|
|GCA_008988465.1_ASM898846v1|126|3|2|7|2|7|1|3|
|GCA_008988665.1_ASM898866v1|2|2|2|2|2|2|2|2|
|GCA_008988685.1_ASM898868v1|33|3|5|7|1|7|1|4|
|GCA_008988785.1_ASM898878v1|-|8|~1|5|3|12|1|13|
|GCA_008988805.1_ASM898880v1|2|2|2|2|2|2|2|2|
|GCA_008988825.1_ASM898882v1|-|1|1|7|1|7|2|4|
|GCA_008988845.1_ASM898884v1|647|3|3|6|2|51|1|29|
|GCA_008988965.1_ASM898896v1|2|2|2|2|2|2|2|2|
|GCA_008989165.1_ASM898916v1|152|8|1|5|3|6|2|3|
|GCA_008989245.1_ASM898924v1|1548|3|2|2|2|3|1|4|
|GCA_008989325.1_ASM898932v1|33|3|5|7|1|7|1|4|
|GCA_008989665.1_ASM898966v1|33|3|5|7|1|7|1|4|
|GCA_008989805.1_ASM898980v1|193|3|1|7|1|7|2|4|
|GCA_008989925.1_ASM898992v1|334|3|1|14|3|12|1|13|
|GCA_008990245.1_ASM899024v1|1|1|1|1|1|5|1|1|
|GCA_008990745.1_ASM899074v1|33|3|5|7|1|7|1|4|
|GCA_008990805.1_ASM899080v1|241|40|3|15|2|40|4|4|
|GCA_008990945.1_ASM899094v1|-|27|3|7|5|3|1|2|
|GCA_008991365.1_ASM899136v1|152|8|1|5|3|6|2|3|
|GCA_008991545.1_ASM899154v1|647|3|3|6|2|51|1|29|
|GCA_008991665.1_ASM899166v1|46|5|12|11|2|14|9|14|
|GCA_008991985.1_ASM899198v1|-|3|1|14|3|12|1|~13|
|GCA_008992085.1_ASM899208v1|-|3|1|14|3|12|1|~13|
|GCA_008992185.1_ASM899218v1|152|8|1|5|3|6|2|3|
|GCA_008992285.1_ASM899228v1|-|3|1|14|3|12|1|~13|
|GCA_008992695.1_ASM899269v1|33|3|5|7|1|7|1|4|
|GCA_008992795.1_ASM899279v1|1878|6|1|2|2|29|4|5|
|GCA_008992905.1_ASM899290v1|236|3|2|7|26|7|1|4|
|GCA_008993055.1_ASM899305v1|2|2|2|2|2|2|2|2|
|GCA_008993295.1_ASM899329v1|490|1|4|3|2|9|1|2|
|GCA_008993535.1_ASM899353v1|2034|3|5|7|1|7|2|4|
|GCA_008994075.1_ASM899407v1|456|27|5|7|1|7|1|2|
|GCA_008994695.1_ASM899469v1|331|3|2|2|2|7|2|5|
|GCA_008994815.1_ASM899481v1|235|3|5|7|1|7|1|2|
|GCA_008995055.1_ASM899505v1|33|3|5|7|1|7|1|4|
|GCA_008995125.1_ASM899512v1|424|3|1|7|1|7|1|4|
|GCA_008995235.1_ASM899523v1|218|1|5|40|2|7|1|1|
|GCA_008995335.1_ASM899533v1|-|3|2|2|2|5|4|5|
|GCA_008995515.1_ASM899551v1|-|3|5|7|1|7|~1|4|
|GCA_008995875.1_ASM899587v1|33|3|5|7|1|7|1|4|
|GCA_008995895.1_ASM899589v1|33|3|5|7|1|7|1|4|
|GCA_008995915.1_ASM899591v1|2|2|2|2|2|2|2|2|
|GCA_008995955.1_ASM899595v1|490|1|4|3|2|9|1|2|
|GCA_008995975.1_ASM899597v1|33|3|5|7|1|7|1|4|
|GCA_008995995.1_ASM899599v1|138|3|3|7|26|7|1|4|
|GCA_008996035.1_ASM899603v1|151|27|5|7|1|7|1|4|
|GCA_008996055.1_ASM899605v1|-|27|1|7|1|7|1|2|
|GCA_008996075.1_ASM899607v1|1464|3|4|2|2|7|2|2|
|GCA_008996095.1_ASM899609v1|218|1|5|40|2|7|1|1|
|GCA_008996955.1_ASM899695v1|34|8|1|14|3|12|1|13|
|GCA_008997465.1_ASM899746v1|2|2|2|2|2|2|2|2|
|GCA_008997955.1_ASM899795v1|193|3|1|7|1|7|2|4|
|GCA_008998215.1_ASM899821v1|130|8|1|14|3|12|1|5|
|GCA_008998435.1_ASM899843v1|334|3|1|14|3|12|1|13|
|GCA_008998555.1_ASM899855v1|213|3|3|7|1|7|1|4|
|GCA_008998795.1_ASM899879v1|213|3|3|7|1|7|1|4|
|GCA_008999165.1_ASM899916v1|193|3|1|7|1|7|2|4|
|GCA_008999275.1_ASM899927v1|237|3|5|7|26|7|1|4|
|GCA_008999515.1_ASM899951v1|130|8|1|14|3|12|1|5|
|GCA_008999635.1_ASM899963v1|924|3|4|2|2|7|1|5|
|GCA_008999695.1_ASM899969v1|34|8|1|14|3|12|1|13|
|GCA_008999715.1_ASM899971v1|-|3|4|5|1|3|1|5|
|GCA_008999955.1_ASM899995v1|848|13|3|2|3|7|1|16|
|GCA_009000435.1_ASM900043v1|218|1|5|40|2|7|1|1|
|GCA_009000495.1_ASM900049v1|36|1|2|2|2|3|1|2|
|GCA_009000555.1_ASM900055v1|33|3|5|7|1|7|1|4|
|GCA_009000575.1_ASM900057v1|152|8|1|5|3|6|2|3|
|GCA_009000655.1_ASM900065v1|145|1|4|2|2|13|1|2|
|GCA_009000755.1_ASM900075v1|152|8|1|5|3|6|2|3|
|GCA_009001075.1_ASM900107v1|40|1|2|2|2|5|1|14|
|GCA_009001915.1_ASM900191v1|25|3|3|2|4|7|2|4|
|GCA_009002035.1_ASM900203v1|848|13|3|2|3|7|1|16|
|GCA_009002255.1_ASM900225v1|216|1|4|2|2|7|1|2|
|GCA_009003295.1_ASM900329v1|152|8|1|5|3|6|2|3|
|GCA_009004355.1_ASM900435v1|727|1|3|14|3|12|1|2|
|GCA_009004455.1_ASM900445v1|727|1|3|14|3|12|1|2|
|GCA_009005095.1_ASM900509v1|118|35|2|11|2|9|1|2|
|GCA_009005205.1_ASM900520v1|138|3|3|7|26|7|1|4|
|GCA_009005395.1_ASM900539v1|152|8|1|5|3|6|2|3|
|GCA_009006055.1_ASM900605v1|193|3|1|7|1|7|2|4|
|GCA_009006115.1_ASM900611v1|193|3|1|7|1|7|2|4|
|GCA_009006475.1_ASM900647v1|138|3|3|7|26|7|1|4|
|GCA_009006655.1_ASM900665v1|-|27|1|7|1|7|1|2|
|GCA_009007095.1_ASM900709v1|-|3|3|2|2|5|58|29|
|GCA_009008375.1_ASM900837v1|2|2|2|2|2|2|2|2|
|GCA_009008455.1_ASM900845v1|2|2|2|2|2|2|2|2|
|GCA_009008595.1_ASM900859v1|-|195|~255|184|~92|197|~102|170|
|GCA_009008875.1_ASM900887v1|2|2|2|2|2|2|2|2|
|GCA_009008995.1_ASM900899v1|2|2|2|2|2|2|2|2|
|GCA_009009115.1_ASM900911v1|152|8|1|5|3|6|2|3|
|GCA_009009235.1_ASM900923v1|2|2|2|2|2|2|2|2|
|GCA_009009435.1_ASM900943v1|2|2|2|2|2|2|2|2|
|GCA_009009555.1_ASM900955v1|241|40|3|15|2|40|4|4|
|GCA_009009675.1_ASM900967v1|2|2|2|2|2|2|2|2|
|GCA_009010035.1_ASM901003v1|2|2|2|2|2|2|2|2|
|GCA_009010135.1_ASM901013v1|2|2|2|2|2|2|2|2|
|GCA_009010395.1_ASM901039v1|33|3|5|7|1|7|1|4|
|GCA_009010815.1_ASM901081v1|150|39|2|2|2|4|27|4|
|GCA_009012995.1_ASM901299v1|-|8|1|5|3|6|2|~3|
|GCA_009013035.1_ASM901303v1|1433|3|1|5|3|6|2|3|
|GCA_009013075.1_ASM901307v1|40|1|2|2|2|5|1|14|
|GCA_009013095.1_ASM901309v1|216|1|4|2|2|7|1|2|
|GCA_009013135.1_ASM901313v1|237|3|5|7|26|7|1|4|
|GCA_009013355.1_ASM901335v1|213|3|3|7|1|7|1|4|
|GCA_009013475.1_ASM901347v1|-|27|1|7|1|7|1|2|
|GCA_009013495.1_ASM901349v1|218|1|5|40|2|7|1|1|
|GCA_009013575.1_ASM901357v1|203|3|4|2|2|7|1|2|
|GCA_009013615.1_ASM901361v1|-|1|3|7|2|59|8|5|
|GCA_009013655.1_ASM901365v1|134|27|4|2|2|9|1|2|
|GCA_009013735.1_ASM901373v1|221|3|1|2|1|18|1|48|
|GCA_009013915.1_ASM901391v1|490|1|4|3|2|9|1|2|
|GCA_009014055.1_ASM901405v1|42|3|11|16|1|13|1|15|
|GCA_009014075.1_ASM901407v1|2|2|2|2|2|2|2|2|
|GCA_009014235.1_ASM901423v1|1102|13|4|40|1|42|1|2|
|GCA_009014275.1_ASM901427v1|40|1|2|2|2|5|1|14|
|GCA_009014315.1_ASM901431v1|203|3|4|2|2|7|1|2|
|GCA_009014395.1_ASM901439v1|-|8|1|5|3|6|~2|3|
|GCA_009014415.1_ASM901441v1|-|3|1|14|3|12|1|~13|
|GCA_009014475.1_ASM901447v1|106|3|3|16|1|13|1|1|
|GCA_009014595.1_ASM901459v1|2|2|2|2|2|2|2|2|
|GCA_009014615.1_ASM901461v1|237|3|5|7|26|7|1|4|
|GCA_011398515.1_ASM1139851v1|52|3|2|2|7|9|1|5|
|GCA_013403085.1_ASM1340308v1|-|27|2|2|2|4|1|5|
|GCA_013403505.1_ASM1340350v1|1|1|1|1|1|5|1|1|
|GCA_013423345.1_ASM1342334v1|412|1|52|2|2|67|4|5|
|GCA_014334925.1_ASM1433492v1|-|7|3|2|1|360?|1|4|
|GCA_014531425.1_ASM1453142v1|1535|169|1|2|2|171|1|4|
|GCA_014705985.1_ASM1470598v1|-|344?|2|2|2|30|4|28|
|GCA_014880105.1_ASM1488010v1|2|2|2|2|2|2|2|2|
|GCA_014880115.1_ASM1488011v1|2|2|2|2|2|2|2|2|
|GCA_014880165.1_ASM1488016v1|2|2|2|2|2|2|2|2|
|GCA_014880195.1_ASM1488019v1|2|2|2|2|2|2|2|2|
|GCA_014880205.1_ASM1488020v1|2|2|2|2|2|2|2|2|
|GCA_014880215.2_ASM1488021v2|499|5|2|39|2|3|1|5|
|GCA_014880235.1_ASM1488023v1|499|5|2|39|2|3|1|5|
|GCA_014880275.1_ASM1488027v1|1088|1|1|1|2|65|1|4|
|GCA_014880285.1_ASM1488028v1|499|5|2|39|2|3|1|5|
|GCA_014880315.1_ASM1488031v1|46|5|12|11|2|14|9|14|
|GCA_014880325.1_ASM1488032v1|499|5|2|39|2|3|1|5|
|GCA_014880345.1_ASM1488034v1|2|2|2|2|2|2|2|2|
|GCA_014880365.1_ASM1488036v1|2|2|2|2|2|2|2|2|
|GCA_014880385.1_ASM1488038v1|2|2|2|2|2|2|2|2|
